name|owner|language|stargazerCount|createdAt|amountYear|isOld
clean-code-javascript|ryanmcdermott|JavaScript|92541|2016-11-25T22:25:41Z|-8|true
free-for-dev|ripienaar|HTML|92521|2015-03-18T21:06:26Z|-9|true
papers-we-love|papers-we-love|Shell|91309|2013-12-15T14:31:41Z|-11|true
frp|fatedier|Go|91047|2015-12-21T15:24:59Z|-9|true
java-design-patterns|iluwatar|Java|90896|2014-08-09T16:45:18Z|-10|true
iptv|iptv-org|JavaScript|90686|2018-11-14T22:00:57Z|-6|true
DeepSeek-V3|deepseek-ai|Python|90635|2024-12-26T09:52:40Z|0|false
thefuck|nvbn|Python|90321|2015-04-08T15:08:04Z|-9|true
tauri|tauri-apps|Rust|90042|2019-07-13T09:09:37Z|-5|true
puppeteer|puppeteer|TypeScript|89865|2017-05-09T22:16:13Z|-7|true
Awesome-Hacking|Hack-with-Github|não encontrado|89563|2016-03-30T15:47:10Z|-8|true
vue-element-admin|PanJiaChen|Vue|88822|2017-04-17T03:35:49Z|-7|true
pytorch|pytorch|Python|87462|2016-08-13T05:26:41Z|-8|true
neovim|neovim|Vim Script|86837|2014-01-31T13:39:22Z|-11|true
every-programmer-should-know|mtdvio|não encontrado|86378|2017-08-24T13:18:26Z|-7|true
tailwindcss|tailwindlabs|TypeScript|86078|2017-10-06T14:59:14Z|-7|true
storybook|storybookjs|TypeScript|85996|2016-03-18T04:23:44Z|-8|true
Web-Dev-For-Beginners|microsoft|JavaScript|85326|2020-11-10T02:44:00Z|-4|false
DeepSeek-R1|deepseek-ai|não encontrado|84520|2025-01-20T11:57:28Z|0|false
rustdesk|rustdesk|Rust|83265|2020-09-28T15:36:08Z|-4|false
nvm|nvm-sh|Shell|82593|2010-04-15T17:47:47Z|-14|true
django|django|Python|82563|2012-04-28T02:47:18Z|-12|true
app-ideas|florinpop17|não encontrado|82370|2019-02-25T18:36:56Z|-6|true
bitcoin|bitcoin|C++|82289|2010-12-19T15:16:43Z|-14|true
ui|shadcn-ui|TypeScript|82062|2023-01-04T12:43:27Z|-2|false
svelte|sveltejs|JavaScript|81612|2016-11-20T18:13:05Z|-8|true
fastapi|fastapi|Python|81570|2018-12-08T08:21:47Z|-6|true
NextChat|ChatGPTNextWeb|TypeScript|81569|2023-03-10T18:27:54Z|-1|false
animate.css|animate-css|CSS|81378|2011-10-12T10:07:38Z|-13|true
realworld|gothinkster|TypeScript|81264|2016-02-26T20:49:53Z|-9|true
opencv|opencv|C++|80862|2012-07-19T09:40:17Z|-12|true
gin|gin-gonic|Go|80602|2014-06-16T23:57:25Z|-10|true
open-webui|open-webui|JavaScript|80480|2023-10-06T22:08:27Z|-1|false
awesome-mac|jaywcjlove|JavaScript|80407|2016-07-17T15:33:47Z|-8|true
laravel|laravel|Blade|80112|2011-06-08T03:06:08Z|-13|true
mall|macrozheng|Java|79289|2018-04-04T01:11:44Z|-6|true
hugo|gohugoio|Go|78437|2013-07-04T15:26:26Z|-11|true
supabase|supabase|TypeScript|78312|2019-10-12T05:56:49Z|-5|true
FiraCode|tonsky|Clojure|78285|2014-11-11T19:32:38Z|-10|true
models|tensorflow|Python|77428|2016-02-05T01:15:20Z|-9|true
whisper|openai|Python|77351|2022-09-16T20:02:54Z|-2|false
advanced-java|doocs|Java|77130|2018-10-06T11:38:30Z|-6|true
dify|langgenius|TypeScript|77077|2023-04-12T07:40:24Z|-1|false
core|home-assistant|Python|76855|2013-09-17T07:29:48Z|-11|true
bun|oven-sh|Zig|76536|2021-04-14T00:48:17Z|-3|false
mermaid|mermaid-js|TypeScript|76340|2014-11-01T23:52:32Z|-10|true
spring-boot|spring-projects|Java|76317|2012-10-19T15:02:57Z|-12|true
v2rayN|2dust|C#|75878|2019-07-30T03:47:24Z|-5|true
llama.cpp|ggml-org|C++|75749|2023-03-10T18:58:00Z|-1|false
LeetCodeAnimation|MisterBooo|Java|75729|2018-12-06T08:01:22Z|-6|true
manim|3b1b|Python|75670|2015-03-22T18:50:58Z|-9|true
Font-Awesome|FortAwesome|JavaScript|74707|2012-02-17T14:19:43Z|-13|true
json-server|typicode|JavaScript|73725|2013-11-27T13:21:13Z|-11|true
netdata|netdata|C|73666|2013-06-17T18:39:10Z|-11|true
awesome-interview-questions|DopplerHQ|não encontrado|73504|2015-11-28T09:48:17Z|-9|true
gpt4all|nomic-ai|C++|72677|2023-03-27T18:49:32Z|-1|false
awesome-vue|vuejs|não encontrado|72613|2015-10-20T00:16:14Z|-9|true
awesome-for-beginners|MunGell|não encontrado|72071|2015-10-24T19:53:36Z|-9|true
generative-ai-for-beginners|microsoft|Jupyter Notebook|71959|2023-06-19T16:28:59Z|-1|false
elasticsearch|elastic|Java|71813|2010-02-08T13:20:56Z|-15|true
github-readme-stats|anuraghazra|JavaScript|71753|2020-07-09T10:34:22Z|-4|false
funNLP|fighting41love|Python|71341|2018-08-21T11:20:39Z|-6|true
