name|owner|language|stargazerCount|createdAt|amountYear|isOld
freeCodeCamp|freeCodeCamp|TypeScript|410685|2014-12-24T17:49:19Z|-10|true
free-programming-books|EbookFoundation|HTML|351565|2013-10-11T06:50:37Z|-11|true
awesome|sindresorhus|não encontrado|349631|2014-07-11T13:42:37Z|-10|true
build-your-own-x|codecrafters-io|Markdown|346614|2018-05-09T12:03:18Z|-6|true
public-apis|public-apis|Python|328901|2016-03-20T23:49:42Z|-8|true
coding-interview-university|jwasham|não encontrado|312578|2016-06-06T02:34:12Z|-8|true
developer-roadmap|kamranahmedse|TypeScript|309437|2017-03-15T13:45:52Z|-7|true
system-design-primer|donnemartin|Python|290721|2017-02-26T16:15:28Z|-8|true
996.ICU|996icu|não encontrado|270352|2019-03-26T07:31:14Z|-5|true
awesome-python|vinta|Python|235881|2014-06-27T21:00:06Z|-10|true
react|facebook|JavaScript|232831|2013-05-24T16:15:54Z|-11|true
project-based-learning|practical-tutorials|não encontrado|219507|2017-04-12T05:07:46Z|-7|true
awesome-selfhosted|awesome-selfhosted|não encontrado|218953|2015-06-01T02:33:17Z|-9|true
vue|vuejs|TypeScript|208425|2013-07-29T03:24:51Z|-11|true
Python|TheAlgorithms|Python|197830|2016-07-16T09:44:01Z|-8|true
javascript-algorithms|trekhleb|JavaScript|190297|2018-03-24T07:47:04Z|-6|true
linux|torvalds|C|188925|2011-09-04T22:48:12Z|-13|true
tensorflow|tensorflow|C++|188356|2015-11-07T01:19:20Z|-9|true
You-Dont-Know-JS|getify|não encontrado|181190|2013-11-16T02:37:24Z|-11|true
CS-Notes|CyC2018|não encontrado|179174|2018-02-13T14:56:24Z|-7|true
ohmyzsh|ohmyzsh|Shell|176440|2009-08-28T18:15:37Z|-15|true
computer-science|ossu|não encontrado|176065|2014-05-04T00:18:39Z|-10|true
AutoGPT|Significant-Gravitas|Python|172128|2023-03-16T09:21:07Z|-1|false
bootstrap|twbs|JavaScript|171681|2011-07-29T21:19:00Z|-13|true
flutter|flutter|Dart|168944|2015-03-06T22:54:58Z|-9|true
vscode|microsoft|TypeScript|168021|2015-09-03T20:23:38Z|-9|true
gitignore|github|não encontrado|164786|2010-11-08T20:17:14Z|-14|true
Python-100-Days|jackfrued|Jupyter Notebook|161546|2018-03-01T16:05:52Z|-7|true
the-book-of-secret-knowledge|trimstray|não encontrado|159631|2018-06-23T10:43:14Z|-6|true
the-art-of-command-line|jlevy|não encontrado|154933|2015-05-20T15:11:03Z|-9|true
stable-diffusion-webui|AUTOMATIC1111|Python|148799|2022-08-22T14:05:26Z|-2|false
JavaGuide|Snailclimb|Java|148456|2018-05-07T13:27:00Z|-6|true
javascript|airbnb|JavaScript|146191|2012-11-01T23:13:50Z|-12|true
transformers|huggingface|Python|140537|2018-10-29T13:56:00Z|-6|true
awesome-go|avelino|Go|139097|2014-07-06T13:42:15Z|-10|true
youtube-dl|ytdl-org|Python|134472|2010-10-31T14:35:07Z|-14|true
ollama|ollama|Go|130748|2023-06-26T19:39:32Z|-1|false
next.js|vercel|JavaScript|129853|2016-10-05T23:32:51Z|-8|true
fucking-algorithm|labuladong|Markdown|127052|2020-02-19T09:01:23Z|-5|true
go|golang|Go|126162|2014-08-19T04:33:40Z|-10|true
Microsoft-Activation-Scripts|massgravel|Batchfile|123303|2020-01-12T23:03:34Z|-5|true
30-seconds-of-code|Chalarangelo|JavaScript|122832|2017-11-29T17:35:03Z|-7|true
tech-interview-handbook|yangshun|TypeScript|122293|2016-07-05T05:00:48Z|-8|true
awesome-chatgpt-prompts|f|HTML|121102|2022-12-05T13:54:13Z|-2|false
react-native|facebook|C++|120840|2015-01-09T18:10:16Z|-10|true
scrcpy|Genymobile|C|118398|2017-11-21T18:00:27Z|-7|true
electron|electron|C++|115668|2013-04-12T01:47:36Z|-11|true
PowerToys|microsoft|C#|115264|2019-05-01T17:44:02Z|-5|true
kubernetes|kubernetes|Go|113429|2014-06-06T22:56:04Z|-10|true
free-programming-books-zh_CN|justjavac|não encontrado|112777|2013-11-04T01:59:19Z|-11|true
d3|d3|Shell|109959|2010-09-27T17:22:42Z|-14|true
node|nodejs|JavaScript|109953|2014-11-26T19:57:11Z|-10|true
hello-algo|krahets|Java|109635|2022-11-04T11:08:34Z|-2|false
axios|axios|JavaScript|106415|2014-08-18T22:30:27Z|-10|true
three.js|mrdoob|JavaScript|104661|2010-03-23T18:58:01Z|-14|true
create-react-app|facebook|JavaScript|103113|2016-07-17T14:55:11Z|-8|true
yt-dlp|yt-dlp|Python|102656|2020-10-26T04:22:55Z|-4|false
TypeScript|microsoft|TypeScript|102430|2014-06-17T15:28:39Z|-10|true
langchain|langchain-ai|Jupyter Notebook|102119|2022-10-17T02:58:36Z|-2|false
deno|denoland|Rust|101995|2018-05-15T01:34:26Z|-6|true
nodebestpractices|goldbergyoni|Dockerfile|101933|2017-09-15T08:33:19Z|-7|true
rust|rust-lang|Rust|101654|2010-06-16T20:39:03Z|-14|true
HelloGitHub|521xueweihan|Python|99188|2016-05-04T06:24:11Z|-8|true
terminal|microsoft|C++|97243|2017-08-11T18:38:22Z|-7|true
angular|angular|TypeScript|97096|2014-09-18T16:12:01Z|-10|true
material-ui|mui|TypeScript|94930|2014-08-18T19:11:54Z|-10|true
godot|godotengine|C++|94700|2014-01-04T16:05:36Z|-11|true
ant-design|ant-design|TypeScript|93863|2015-04-24T15:37:24Z|-9|true
excalidraw|excalidraw|TypeScript|93630|2020-01-02T01:04:43Z|-5|true
