file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\context\properties\Snippets.java,org.springframework.boot.build.context.properties.Snippets,class,10,12,2,10,16,1,0,41,20,0.6875,0.0,0.0,8,0,0,5,0,3,3,0,0,0,2,0,0,2,0,0,2,0,9,78,2,1,1,1,1,9,1,12,4,20,3,0,0,7,66,0,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\bomr\version\DependencyVersionUpgradeTests.java,org.springframework.boot.build.bom.bomr.version.DependencyVersionUpgradeTests$InputProvider,innerclass,10,10,0,10,7,1,0,25,10,0.0,NaN,NaN,5,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,26,6,0,2,0,1,0,0,6,0,9,1,0,0,3,23,8,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomPlugin.java,org.springframework.boot.build.bom.BomPlugin,class,16,18,2,16,2,1,0,19,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,192,0,0,0,0,0,7,0,6,0,8,1,0,1,2,52,1,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\context\properties\CheckAdditionalSpringConfigurationMetadata.java,org.springframework.boot.build.context.properties.CheckAdditionalSpringConfigurationMetadata$Analysis,innerclass,0,0,0,0,1,1,0,0,0,0.5,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,26,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\mavenplugin\PluginXmlParser.java,org.springframework.boot.build.mavenplugin.PluginXmlParser,class,8,11,3,8,19,1,0,27,30,0.6666667,0.0,0.0,9,0,0,7,0,2,2,0,0,0,1,0,0,1,0,0,1,0,4,172,8,3,3,1,1,48,0,11,1,11,2,0,4,0,56,0,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\EclipseConventions.java,org.springframework.boot.build.EclipseConventions,class,9,11,2,9,7,1,0,16,15,0.0,NaN,NaN,6,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,30,3,0,0,0,3,4,0,2,0,4,2,0,0,2,47,0,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\antora\Extensions.java,org.springframework.boot.build.antora.AntoraExtensionsConfiguration$Customizer,innerclass,0,0,0,0,2,1,0,2,0,0.0,0.0,0.0,2,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,2,0,0,0,1,5,1024,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\bomr\version\CalendarVersionDependencyVersionTests.java,org.springframework.boot.build.bom.bomr.version.CalendarVersionDependencyVersionTests,class,5,6,1,5,11,1,0,11,55,0.0,0.0,0.0,11,0,0,2,0,9,9,0,0,0,0,0,0,0,0,0,0,0,2,35,2,0,0,0,0,16,0,0,0,0,0,0,0,0,30,0,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\mavenplugin\MavenPluginPlugin.java,org.springframework.boot.build.mavenplugin.MavenPluginPlugin$FormatHelpMojoSource,innerclass,11,11,0,11,7,2,0,23,4,0.5,0.0,0.0,5,0,2,1,0,2,4,1,0,0,2,0,0,2,0,0,1,0,2,29,0,1,0,1,0,1,0,5,0,6,1,0,0,1,33,1033,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\test\java\org\springframework\boot\build\assertj\NodeAssert.java,org.springframework.boot.build.assertj.NodeAssert,class,6,8,2,6,9,2,0,7,13,0.8333333,0.0,0.0,6,1,5,1,0,0,5,0,0,0,3,1,0,3,0,0,3,0,3,38,4,0,0,3,0,1,0,3,1,3,1,0,0,0,33,1,0
